Model,ROC-AUC,PR-AUC,F1-Score,Precision,Recall,Accuracy
Majority,0.5000 +- 0.0000,0.2408 +- 0.0000,0.0000 +- 0.0000,0.0000 +- 0.0000,0.0000 +- 0.0000,0.7592 +- 0.0000
Stratified,0.5014 +- 0.0075,0.2415 +- 0.0027,0.2418 +- 0.0114,0.2430 +- 0.0115,0.2407 +- 0.0114,0.6366 +- 0.0055
LogReg_L1_C0.01,0.8981 +- 0.0014,0.7500 +- 0.0091,0.6309 +- 0.0050,0.7404 +- 0.0094,0.5497 +- 0.0063,0.8451 +- 0.0023
LogReg_L1_C0.1,0.9062 +- 0.0018,0.7659 +- 0.0089,0.6562 +- 0.0069,0.7354 +- 0.0089,0.5925 +- 0.0101,0.8505 +- 0.0027
LogReg_L1_C1,0.9068 +- 0.0017,0.7672 +- 0.0088,0.6626 +- 0.0070,0.7362 +- 0.0086,0.6025 +- 0.0107,0.8522 +- 0.0027
LogReg_L1_C10,0.9066 +- 0.0018,0.7668 +- 0.0089,0.6622 +- 0.0074,0.7346 +- 0.0094,0.6029 +- 0.0108,0.8519 +- 0.0030
LogReg_L2_C0.01,0.9035 +- 0.0019,0.7578 +- 0.0101,0.6426 +- 0.0051,0.7423 +- 0.0093,0.5665 +- 0.0062,0.8482 +- 0.0025
LogReg_L2_C0.1,0.9066 +- 0.0018,0.7666 +- 0.0090,0.6596 +- 0.0071,0.7382 +- 0.0074,0.5962 +- 0.0106,0.8518 +- 0.0025
LogReg_L2_C1,0.9067 +- 0.0017,0.7670 +- 0.0088,0.6625 +- 0.0071,0.7356 +- 0.0084,0.6027 +- 0.0105,0.8521 +- 0.0027
LogReg_L2_C10,0.9066 +- 0.0018,0.7668 +- 0.0090,0.6626 +- 0.0071,0.7349 +- 0.0093,0.6034 +- 0.0101,0.8520 +- 0.0029
LinearSVC_C0.01,0.9064 +- 0.0014,0.7666 +- 0.0088,0.6535 +- 0.0078,0.7442 +- 0.0082,0.5827 +- 0.0118,0.8513 +- 0.0027
LinearSVC_C0.1,0.9065 +- 0.0014,0.7669 +- 0.0086,0.6591 +- 0.0079,0.7429 +- 0.0071,0.5924 +- 0.0120,0.8525 +- 0.0026
LinearSVC_C1,0.9065 +- 0.0015,0.7668 +- 0.0087,0.6591 +- 0.0067,0.7409 +- 0.0076,0.5937 +- 0.0107,0.8521 +- 0.0023
LinearSVC_C10,0.9064 +- 0.0015,0.7668 +- 0.0088,0.6587 +- 0.0071,0.7401 +- 0.0078,0.5935 +- 0.0111,0.8519 +- 0.0025
